Date,Price
16/05/2025,"7.106,53"
15/05/2025,"7.040,16"
14/05/2025,"6.979,88"
9/5/2025,"6.832,80"
8/5/2025,"6.827,75"
7/5/2025,"6.926,23"
6/5/2025,"6.898,20"
5/5/2025,"6.831,95"
2/5/2025,"6.815,73"
30/04/2025,"6.766,79"
29/04/2025,"6.749,08"
28/04/2025,"6.722,97"
25/04/2025,"6.678,92"
24/04/2025,"6.613,48"
23/04/2025,"6.634,38"
22/04/2025,"6.538,27"
21/04/2025,"6.445,97"
17/04/2025,"6.438,27"
16/04/2025,"6.400,05"
15/04/2025,"6.441,68"
14/04/2025,"6.368,52"
11/4/2025,"6.262,23"
10/4/2025,"6.254,02"
9/4/2025,"5.967,99"
8/4/2025,"5.996,14"
27/03/2025,"6.510,62"
26/03/2025,"6.472,36"
25/03/2025,"6.235,62"
24/03/2025,"6.161,22"
21/03/2025,"6.258,18"
20/03/2025,"6.381,67"
19/03/2025,"6.311,66"
18/03/2025,"6.223,39"
17/03/2025,"6.471,95"
14/03/2025,"6.515,63"
13/03/2025,"6.647,42"
12/3/2025,"6.665,04"
11/3/2025,"6.545,85"
10/3/2025,"6.598,21"
7/3/2025,"6.636,00"
6/3/2025,"6.617,85"
5/3/2025,"6.531,40"
4/3/2025,"6.380,40"
3/3/2025,"6.519,66"
28/02/2025,"6.270,60"
27/02/2025,"6.485,45"
26/02/2025,"6.606,18"
25/02/2025,"6.587,09"
24/02/2025,"6.749,60"
21/02/2025,"6.803,00"
20/02/2025,"6.788,04"
19/02/2025,"6.794,87"
18/02/2025,"6.873,55"
17/02/2025,"6.830,88"
14/02/2025,"6.638,46"
13/02/2025,"6.613,57"
12/2/2025,"6.645,78"
11/2/2025,"6.531,99"
10/2/2025,"6.648,14"
7/2/2025,"6.742,58"
6/2/2025,"6.875,54"
5/2/2025,"7.024,23"
4/2/2025,"7.073,46"
3/2/2025,"7.030,06"
31/01/2025,"7.109,20"
30/01/2025,"7.073,48"
24/01/2025,"7.166,06"
23/01/2025,"7.232,64"
22/01/2025,"7.257,13"
21/01/2025,"7.181,82"
20/01/2025,"7.170,74"
17/01/2025,"7.154,66"
16/01/2025,"7.107,52"
15/01/2025,"7.079,56"
14/01/2025,"6.956,67"
13/01/2025,"7.016,88"
10/1/2025,"7.088,87"
9/1/2025,"7.064,59"
8/1/2025,"7.080,35"
7/1/2025,"7.083,28"
6/1/2025,"7.080,47"
3/1/2025,"7.164,43"
2/1/2025,"7.163,21"
30/12/2024,"7.079,90"
27/12/2024,"7.036,57"
24/12/2024,"7.065,75"
23/12/2024,"7.096,44"
20/12/2024,"6.983,87"
19/12/2024,"6.977,24"
18/12/2024,"7.107,88"
17/12/2024,"7.157,73"
16/12/2024,"7.258,63"
13/12/2024,"7.324,79"
12/12/2024,"7.394,24"
11/12/2024,"7.464,75"
10/12/2024,"7.453,29"
9/12/2024,"7.437,73"
